Gene ID	source_id	Product Description	Gene Type	Input ID
PF3D7_0202300	PF3D7_0202300.1	Plasmodium exported protein (hyp11), unknown function	protein coding gene	PF3D7_0202300
PF3D7_0202400	PF3D7_0202400.1	translation-enhancing factor	protein coding gene	PF3D7_0202400
PF3D7_0202500	PF3D7_0202500.1	early transcribed membrane protein 2	protein coding gene	PF3D7_0202500
PF3D7_0202600	PF3D7_0202600.1	nucleic acid-binding protein, putative	protein coding gene	PF3D7_0202600
PF3D7_0202600	PF3D7_0202600.2	nucleic acid-binding protein, putative	protein coding gene	PF3D7_0202600
PF3D7_0202700	PF3D7_0202700.1	octaprenyl pyrophosphate synthase	protein coding gene	PF3D7_0202700
PF3D7_0202800	PF3D7_0202800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0202800
PF3D7_0202900	PF3D7_0202900.1	palmitoyltransferase DHHC12, putative	protein coding gene	PF3D7_0202900
PF3D7_0203000	PF3D7_0203000.1	repetitive organellar protein, putative	protein coding gene	PF3D7_0203000
PF3D7_0203100	PF3D7_0203100.1	protein kinase, putative	protein coding gene	PF3D7_0203100
PF3D7_0203200	PF3D7_0203200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0203200
PF3D7_0203300	PF3D7_0203300.1	ERCC1 nucleotide excision repair protein, putative	protein coding gene	PF3D7_0203300
PF3D7_0203400	PF3D7_0203400.1	conserved protein, unknown function	protein coding gene	PF3D7_0203400
PF3D7_0203600	PF3D7_0203600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0203600
PF3D7_0203700	PF3D7_0203700.1	protein MAK16, putative	protein coding gene	PF3D7_0203700
PF3D7_0203800	PF3D7_0203800.1	WD repeat-containing protein, putative	protein coding gene	PF3D7_0203800
PF3D7_0203900	PF3D7_0203900.1	5'-3' exonuclease, putative	protein coding gene	PF3D7_0203900
PF3D7_0204000	PF3D7_0204000.1	condensin-2 complex subunit H2, putative	protein coding gene	PF3D7_0204000
PF3D7_0204100	PF3D7_0204100.1	Sel1 repeat-containing protein, putative	protein coding gene	PF3D7_0204100
PF3D7_0204200	PF3D7_0204200.1	translocation protein SEC66, putative	protein coding gene	PF3D7_0204200
PF3D7_0204300	PF3D7_0204300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0204300
PF3D7_0204400	PF3D7_0204400.1	dynein light chain, putative	protein coding gene	PF3D7_0204400
PF3D7_0204500	PF3D7_0204500.1	aspartate transaminase	protein coding gene	PF3D7_0204500
PF3D7_0204600	PF3D7_0204600.1	5'-3' exonuclease, putative	protein coding gene	PF3D7_0204600
PF3D7_0204700	PF3D7_0204700.1	hexose transporter	protein coding gene	PF3D7_0204700
PF3D7_0204800	PF3D7_0204800.1	3'-5' exonuclease, putative	protein coding gene	PF3D7_0204800
PF3D7_0204900	PF3D7_0204900.1	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative	protein coding gene	PF3D7_0204900
PF3D7_0205000	PF3D7_0205000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0205000
