Gene ID	source_id	Product Description	Gene Type	Input ID
PF3D7_1109100	PF3D7_1109100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1109100
PF3D7_1109200	PF3D7_1109200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1109200
PF3D7_1109300	PF3D7_1109300.1	small nucleolar RNA snR61/Z1/Z11	ncRNA gene	PF3D7_1109300
PF3D7_1109400	PF3D7_1109400.1	essential nuclear protein 1, putative	protein coding gene	PF3D7_1109400
PF3D7_1109500	PF3D7_1109500.1	small nucleolar RNA snoR09	ncRNA gene	PF3D7_1109500
PF3D7_1109600	PF3D7_1109600.1	small nucleolar RNA SNORD127	ncRNA gene	PF3D7_1109600
PF3D7_1109700	PF3D7_1109700.1	small nucleolar RNA snoR11	ncRNA gene	PF3D7_1109700
PF3D7_1109800	PF3D7_1109800.1	small nucleolar RNA snoR12	ncRNA gene	PF3D7_1109800
PF3D7_1109900	PF3D7_1109900.1	60S ribosomal protein L36	protein coding gene	PF3D7_1109900
PF3D7_1110000	PF3D7_1110000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1110000
PF3D7_1110100	PF3D7_1110100.1	C2 domain-containing membrane protein	protein coding gene	PF3D7_1110100
PF3D7_1110200	PF3D7_1110200.1	pre-mRNA-processing factor 6, putative	protein coding gene	PF3D7_1110200
PF3D7_1110300	PF3D7_1110300.1	G-patch domain-containing protein, putative	protein coding gene	PF3D7_1110300
PF3D7_1110400	PF3D7_1110400.1	RNA-binding protein, putative	protein coding gene	PF3D7_1110400
PF3D7_1110500	PF3D7_1110500.1	vacuolar protein sorting-associated protein 35, putative	protein coding gene	PF3D7_1110500
PF3D7_1110600	PF3D7_1110600.1	ribosomal protein L11, mitochondrial, putative	protein coding gene	PF3D7_1110600
PF3D7_1110700	PF3D7_1110700.1	actin-like protein, putative	protein coding gene	PF3D7_1110700
PF3D7_1110800	PF3D7_1110800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1110800
PF3D7_1110900	PF3D7_1110900.1	ES2 protein, putative	protein coding gene	PF3D7_1110900
PF3D7_1111000	PF3D7_1111000.1	RNA cytosine C(5)-methyltransferase NSUN2	protein coding gene	PF3D7_1111000
PF3D7_1111100	PF3D7_1111100.1	replication factor C subunit 5, putative	protein coding gene	PF3D7_1111100
PF3D7_1111200	PF3D7_1111200.1	transcription elongation regulator 1-like protein, putative	protein coding gene	PF3D7_1111200
PF3D7_1111300	PF3D7_1111300.1	protein transport protein BOS1, putative	protein coding gene	PF3D7_1111300
PF3D7_1111400	PF3D7_1111400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1111400
PF3D7_1111500	PF3D7_1111500.1	acylphosphatase, putative	protein coding gene	PF3D7_1111500
PF3D7_1111600	PF3D7_1111600.1	endonuclease/exonuclease/phosphatase family protein, putative	protein coding gene	PF3D7_1111600
PF3D7_1111700	PF3D7_1111700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1111700
PF3D7_1111800	PF3D7_1111800.1	peptidyl-prolyl cis-trans isomerase, putative	protein coding gene	PF3D7_1111800
PF3D7_1111900	PF3D7_1111900.1	Josephin domain-containing protein, putative	protein coding gene	PF3D7_1111900
PF3D7_1112000	PF3D7_1112000.1	conserved protein, unknown function	protein coding gene	PF3D7_1112000
PF3D7_1112100	PF3D7_1112100.1	protein kinase, putative	protein coding gene	PF3D7_1112100
PF3D7_1112200	PF3D7_1112200.1	ubiquinone biosynthesis protein COQ4, putative	protein coding gene	PF3D7_1112200
PF3D7_1112300	PF3D7_1112300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1112300
PF3D7_1112400	PF3D7_1112400.1	nucleic acid binding protein, putative	protein coding gene	PF3D7_1112400
PF3D7_1112500	PF3D7_1112500.1	RNA transcription, translation and transport factor protein, putative	protein coding gene	PF3D7_1112500
PF3D7_1112600	PF3D7_1112600.1	ATPase, putative	protein coding gene	PF3D7_1112600
PF3D7_1112700	PF3D7_1112700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1112700
PF3D7_1112800	PF3D7_1112800.1	conserved protein, unknown function	protein coding gene	PF3D7_1112800
PF3D7_1112900	PF3D7_1112900.1	conserved protein, unknown function	protein coding gene	PF3D7_1112900
PF3D7_1113000	PF3D7_1113000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1113000
PF3D7_1113100	PF3D7_1113100.1	protein tyrosine phosphatase	protein coding gene	PF3D7_1113100
PF3D7_1113200	PF3D7_1113200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1113200
PF3D7_1113300	PF3D7_1113300.1	UDP-galactose transporter, putative	protein coding gene	PF3D7_1113300
PF3D7_1113400	PF3D7_1113400.1	ubiquitin domain-containing protein DSK2, putative	protein coding gene	PF3D7_1113400
PF3D7_1113500	PF3D7_1113500.1	GTP-binding protein, putative	protein coding gene	PF3D7_1113500
PF3D7_1113600	PF3D7_1113600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1113600
PF3D7_1113700	PF3D7_1113700.1	glyoxalase I	protein coding gene	PF3D7_1113700
PF3D7_1113800	PF3D7_1113800.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_1113800
PF3D7_1113900	PF3D7_1113900.1	mitogen-activated protein kinase 2	protein coding gene	PF3D7_1113900
PF3D7_1114000	PF3D7_1114000.1	dynein light chain Tctex-type, putative	protein coding gene	PF3D7_1114000
PF3D7_1114100	PF3D7_1114100.1	rhomboid protease ROM1	protein coding gene	PF3D7_1114100
PF3D7_1114100	PF3D7_1114100.2	rhomboid protease ROM1	protein coding gene	PF3D7_1114100
PF3D7_1114200	PF3D7_1114200.1	GTPase-activating protein, putative	protein coding gene	PF3D7_1114200
PF3D7_1114300	PF3D7_1114300.1	non-coding RNA	ncRNA gene	PF3D7_1114300
PF3D7_1114400	PF3D7_1114400.1	RAP protein, putative	protein coding gene	PF3D7_1114400
PF3D7_1114500	PF3D7_1114500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1114500
PF3D7_1114600	PF3D7_1114600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1114600
PF3D7_1114700	PF3D7_1114700.1	cyclin-dependent-like kinase CLK3	protein coding gene	PF3D7_1114700
PF3D7_1114800	PF3D7_1114800.1	glycerol-3-phosphate dehydrogenase, putative	protein coding gene	PF3D7_1114800
PF3D7_1114900	PF3D7_1114900.1	filamin domain-containing protein, putative	protein coding gene	PF3D7_1114900
PF3D7_1115000	PF3D7_1115000.1	conserved protein, unknown function	protein coding gene	PF3D7_1115000
PF3D7_1115100	PF3D7_1115100.1	conserved protein, unknown function	protein coding gene	PF3D7_1115100
PF3D7_1115200	PF3D7_1115200.1	histone-lysine N-methyltransferase SET7	protein coding gene	PF3D7_1115200
PF3D7_1115300	PF3D7_1115300.1	cysteine proteinase falcipain 2b	protein coding gene	PF3D7_1115300
PF3D7_1115400	PF3D7_1115400.1	cysteine proteinase falcipain 3	protein coding gene	PF3D7_1115400
PF3D7_1115500	PF3D7_1115500.1	AP2 domain transcription factor, putative	protein coding gene	PF3D7_1115500
PF3D7_1115600	PF3D7_1115600.1	peptidyl-prolyl cis-trans isomerase	protein coding gene	PF3D7_1115600
PF3D7_1115700	PF3D7_1115700.1	cysteine proteinase falcipain 2a	protein coding gene	PF3D7_1115700
PF3D7_1115800	PF3D7_1115800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1115800
PF3D7_1115900	PF3D7_1115900.1	palmitoyltransferase DHHC9	protein coding gene	PF3D7_1115900
PF3D7_1116000	PF3D7_1116000.1	rhoptry neck protein 4	protein coding gene	PF3D7_1116000
PF3D7_1116100	PF3D7_1116100.1	serine esterase, putative	protein coding gene	PF3D7_1116100
PF3D7_1116200	PF3D7_1116200.1	pyridoxine biosynthesis protein PDX2	protein coding gene	PF3D7_1116200
PF3D7_1116200	PF3D7_1116200.2	pyridoxine biosynthesis protein PDX2	protein coding gene	PF3D7_1116200
PF3D7_1116300	PF3D7_1116300.1	peptidyl-prolyl cis-trans isomerase	protein coding gene	PF3D7_1116300
PF3D7_1116400	PF3D7_1116400.1	guanine nucleotide-exchange factor SEC12	protein coding gene	PF3D7_1116400
PF3D7_1116500	PF3D7_1116500.1	folate transporter 2	protein coding gene	PF3D7_1116500
PF3D7_1116600	PF3D7_1116600.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3, putative	protein coding gene	PF3D7_1116600
PF3D7_1116700	PF3D7_1116700.1	dipeptidyl aminopeptidase 1	protein coding gene	PF3D7_1116700
PF3D7_1116800	PF3D7_1116800.1	heat shock protein 101	protein coding gene	PF3D7_1116800
PF3D7_1116900	PF3D7_1116900.1	conserved protein, unknown function	protein coding gene	PF3D7_1116900
PF3D7_1117000	PF3D7_1117000.1	MFS domain-containing protein P115, putative	protein coding gene	PF3D7_1117000
PF3D7_1117100	PF3D7_1117100.1	ubiquitin carboxyl-terminal hydrolase UCH54	protein coding gene	PF3D7_1117100
PF3D7_1117200	PF3D7_1117200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1117200
PF3D7_1117300	PF3D7_1117300.1	conserved protein, unknown function	protein coding gene	PF3D7_1117300
PF3D7_1117400	PF3D7_1117400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1117400
PF3D7_1117500	PF3D7_1117500.1	tyrosine--tRNA ligase	protein coding gene	PF3D7_1117500
PF3D7_1117600	PF3D7_1117600.1	peptidyl-tRNA hydrolase ICT1	protein coding gene	PF3D7_1117600
PF3D7_1117600	PF3D7_1117600.2	peptidyl-tRNA hydrolase ICT1	protein coding gene	PF3D7_1117600
PF3D7_1117700	PF3D7_1117700.1	GTP-binding nuclear protein RAN/TC4	protein coding gene	PF3D7_1117700
PF3D7_1117800	PF3D7_1117800.1	DNA mismatch repair protein MLH	protein coding gene	PF3D7_1117800
PF3D7_1117900	PF3D7_1117900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1117900
PF3D7_1118000	PF3D7_1118000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1118000
PF3D7_1118100	PF3D7_1118100.1	AP-1 complex subunit sigma, putative	protein coding gene	PF3D7_1118100
PF3D7_1118200	PF3D7_1118200.1	heat shock protein 90, putative	protein coding gene	PF3D7_1118200
PF3D7_1118300	PF3D7_1118300.1	insulinase, putative	protein coding gene	PF3D7_1118300
PF3D7_1118400	PF3D7_1118400.1	haloacid dehalogenase-like hydrolase, putative	protein coding gene	PF3D7_1118400
PF3D7_1118500	PF3D7_1118500.1	nucleolar protein 56, putative	protein coding gene	PF3D7_1118500
PF3D7_1118600	PF3D7_1118600.1	histone acetyltransferase MYST	protein coding gene	PF3D7_1118600
PF3D7_1118700	PF3D7_1118700.1	myosin light chain B	protein coding gene	PF3D7_1118700
PF3D7_1118800	PF3D7_1118800.1	actin-related protein 2/3 complex subunit 1, putative	protein coding gene	PF3D7_1118800
PF3D7_1118900	PF3D7_1118900.1	conserved protein, unknown function	protein coding gene	PF3D7_1118900
PF3D7_1119000	PF3D7_1119000.1	acyl-CoA-binding protein, putative	protein coding gene	PF3D7_1119000
PF3D7_1119100	PF3D7_1119100.1	tRNA m(1)G methyltransferase, putative	protein coding gene	PF3D7_1119100
PF3D7_1119200	PF3D7_1119200.1	conserved protein, unknown function	protein coding gene	PF3D7_1119200
PF3D7_1119300	PF3D7_1119300.1	splicing factor U2AF small subunit, putative	protein coding gene	PF3D7_1119300
PF3D7_1119400	PF3D7_1119400.1	ubiquitin-protein ligase, putative	protein coding gene	PF3D7_1119400
PF3D7_1119500	PF3D7_1119500.1	AP-4 complex subunit mu, putative	protein coding gene	PF3D7_1119500
PF3D7_1119600	PF3D7_1119600.1	ATP-dependent zinc metalloprotease FTSH, putative	protein coding gene	PF3D7_1119600
PF3D7_1119700	PF3D7_1119700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1119700
PF3D7_1119800	PF3D7_1119800.1	alternative splicing factor ASF-1, putative	protein coding gene	PF3D7_1119800
PF3D7_1119900	PF3D7_1119900.1	protein transport protein SEC16, putative	protein coding gene	PF3D7_1119900
PF3D7_1120000	PF3D7_1120000.1	conserved protein, unknown function	protein coding gene	PF3D7_1120000
PF3D7_1120100	PF3D7_1120100.1	phosphoglycerate mutase, putative	protein coding gene	PF3D7_1120100
PF3D7_1120200	PF3D7_1120200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1120200
PF3D7_1120300	PF3D7_1120300.1	CorA-like Mg2+ transporter protein, putative	protein coding gene	PF3D7_1120300
PF3D7_1120400	PF3D7_1120400.1	alpha/beta hydrolase fold domain containing protein, putative	protein coding gene	PF3D7_1120400
PF3D7_1120500	PF3D7_1120500.1	tRNA nucleotidyltransferase, putative	protein coding gene	PF3D7_1120500
PF3D7_1120600	PF3D7_1120600.1	DDRGK domain-containing protein, putative	protein coding gene	PF3D7_1120600
PF3D7_1120700	PF3D7_1120700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1120700
PF3D7_1120800	PF3D7_1120800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1120800
PF3D7_1120900	PF3D7_1120900.1	heat shock factor-binding protein 1	protein coding gene	PF3D7_1120900
PF3D7_1121000	PF3D7_1121000.1	palmitoyltransferase DHHC3	protein coding gene	PF3D7_1121000
PF3D7_1121100	PF3D7_1121100.1	conserved protein, unknown function	protein coding gene	PF3D7_1121100
PF3D7_1121200	PF3D7_1121200.1	conserved protein, unknown function	protein coding gene	PF3D7_1121200
PF3D7_1121300	PF3D7_1121300.1	tyrosine kinase-like protein	protein coding gene	PF3D7_1121300
PF3D7_1121400	PF3D7_1121400.1	WD repeat-containing protein, putative	protein coding gene	PF3D7_1121400
PF3D7_1121500	PF3D7_1121500.1	conserved protein, unknown function	protein coding gene	PF3D7_1121500
PF3D7_1121600	PF3D7_1121600.1	exported protein 1	protein coding gene	PF3D7_1121600
PF3D7_1121700	PF3D7_1121700.1	protein GCN20	protein coding gene	PF3D7_1121700
PF3D7_1121800	PF3D7_1121800.1	peptidase M16, putative	protein coding gene	PF3D7_1121800
PF3D7_1121900	PF3D7_1121900.1	3-phosphoinositide-dependent protein kinase 1	protein coding gene	PF3D7_1121900
PF3D7_1122000	PF3D7_1122000.1	conserved protein, unknown function	protein coding gene	PF3D7_1122000
PF3D7_1122100	PF3D7_1122100.1	GPI transamidase component GPI16, putative	protein coding gene	PF3D7_1122100
PF3D7_1122200	PF3D7_1122200.1	JmjC domain-containing protein 3	protein coding gene	PF3D7_1122200
PF3D7_1122300	PF3D7_1122300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1122300
PF3D7_1122400	PF3D7_1122400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1122400
PF3D7_1122500	PF3D7_1122500.1	protein KIC10	protein coding gene	PF3D7_1122500
PF3D7_1122600	PF3D7_1122600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1122600
PF3D7_1122700	PF3D7_1122700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1122700
PF3D7_1122800	PF3D7_1122800.1	calcium-dependent protein kinase 6	protein coding gene	PF3D7_1122800
PF3D7_1122900	PF3D7_1122900.1	dynein heavy chain, putative	protein coding gene	PF3D7_1122900
PF3D7_1123000	PF3D7_1123000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1123000
PF3D7_1123100	PF3D7_1123100.1	calcium-dependent protein kinase 7	protein coding gene	PF3D7_1123100
PF3D7_1123200	PF3D7_1123200.1	leucine-rich repeat protein	protein coding gene	PF3D7_1123200
PF3D7_1123300	PF3D7_1123300.1	RING zinc finger protein, putative	protein coding gene	PF3D7_1123300
PF3D7_1123400	PF3D7_1123400.1	eukaryotic peptide chain release factor GTP-binding subunit, putative	protein coding gene	PF3D7_1123400
PF3D7_1123500	PF3D7_1123500.1	golgi protein 2	protein coding gene	PF3D7_1123500
PF3D7_1123600	PF3D7_1123600.1	RAP protein, putative	protein coding gene	PF3D7_1123600
PF3D7_1123700	PF3D7_1123700.1	ribosomal protein L37, mitochondrial, putative	protein coding gene	PF3D7_1123700
PF3D7_1123800	PF3D7_1123800.1	structural maintenance of chromosomes protein 5, putative	protein coding gene	PF3D7_1123800
PF3D7_1123900	PF3D7_1123900.1	13 kDa ribonucleoprotein-associated protein, putative	protein coding gene	PF3D7_1123900
PF3D7_1124000	PF3D7_1124000.1	endoplasmic reticulum oxidoreductin, putative	protein coding gene	PF3D7_1124000
PF3D7_1124100	PF3D7_1124100.1	BEACH domain-containing protein, putative	protein coding gene	PF3D7_1124100
PF3D7_1124200	PF3D7_1124200.1	thioredoxin-like protein, putative	protein coding gene	PF3D7_1124200
PF3D7_1124300	PF3D7_1124300.1	bromodomain protein 7	protein coding gene	PF3D7_1124300
PF3D7_1124400	PF3D7_1124400.1	U6 snRNA-associated Sm-like protein LSm1, putative	protein coding gene	PF3D7_1124400
PF3D7_1124500	PF3D7_1124500.1	pyruvate dehydrogenase E1 component subunit alpha	protein coding gene	PF3D7_1124500
PF3D7_1124600	PF3D7_1124600.1	ethanolamine kinase	protein coding gene	PF3D7_1124600
PF3D7_1124700	PF3D7_1124700.1	GrpE protein homolog, mitochondrial, putative	protein coding gene	PF3D7_1124700
PF3D7_1124800	PF3D7_1124800.1	ribosome biogenesis regulatory protein, putative	protein coding gene	PF3D7_1124800
PF3D7_1124900	PF3D7_1124900.1	60S ribosomal protein L35, putative	protein coding gene	PF3D7_1124900
PF3D7_1125000	PF3D7_1125000.1	conserved protein, unknown function	protein coding gene	PF3D7_1125000
PF3D7_1125100	PF3D7_1125100.1	ATP synthase F0 subunit b-like protein, putative	protein coding gene	PF3D7_1125100
PF3D7_1125200	PF3D7_1125200.1	ubiquitin-like domain-containing protein, putative	protein coding gene	PF3D7_1125200
PF3D7_1125300	PF3D7_1125300.1	DNA-directed RNA polymerase	protein coding gene	PF3D7_1125300
PF3D7_1125400	PF3D7_1125400.1	mitochondrial import inner membrane translocase subunit TIM44, putative	protein coding gene	PF3D7_1125400
PF3D7_1125500	PF3D7_1125500.1	small nuclear ribonucleoprotein Sm D1, putative	protein coding gene	PF3D7_1125500
PF3D7_1125600	PF3D7_1125600.1	respiratory chain complex 4 associated protein 1	protein coding gene	PF3D7_1125600
PF3D7_1125700	PF3D7_1125700.1	kelch domain-containing protein, putative	protein coding gene	PF3D7_1125700
PF3D7_1125800	PF3D7_1125800.1	kelch domain-containing protein, putative	protein coding gene	PF3D7_1125800
PF3D7_1125900	PF3D7_1125900.1	XTBD domain-containing protein, putative	protein coding gene	PF3D7_1125900
PF3D7_1126000	PF3D7_1126000.1	threonine--tRNA ligase	protein coding gene	PF3D7_1126000
PF3D7_1126100	PF3D7_1126100.1	autophagy-related protein 7, putative	protein coding gene	PF3D7_1126100
PF3D7_1126200	PF3D7_1126200.1	40S ribosomal protein S18, putative	protein coding gene	PF3D7_1126200
PF3D7_1126300	PF3D7_1126300.1	DnaJ protein, putative	protein coding gene	PF3D7_1126300
PF3D7_1126400	PF3D7_1126400.1	mediator of RNA polymerase II transcription subunit 21, putative	protein coding gene	PF3D7_1126400
PF3D7_1126500	PF3D7_1126500.1	WD repeat-containing protein, putative	protein coding gene	PF3D7_1126500
PF3D7_1126600	PF3D7_1126600.1	steryl ester hydrolase, putative	protein coding gene	PF3D7_1126600
PF3D7_1126700	PF3D7_1126700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1126700
PF3D7_1126800	PF3D7_1126800.1	alternative splicing factor SR-MG, putative	protein coding gene	PF3D7_1126800
PF3D7_1126900	PF3D7_1126900.1	small nuclear ribonucleoprotein F, putative	protein coding gene	PF3D7_1126900
PF3D7_1127000	PF3D7_1127000.1	protein phosphatase, putative	protein coding gene	PF3D7_1127000
PF3D7_1127100	PF3D7_1127100.1	deoxyuridine 5'-triphosphate nucleotidohydrolase	protein coding gene	PF3D7_1127100
PF3D7_1127200	PF3D7_1127200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1127200
PF3D7_1127300	PF3D7_1127300.1	tRNA (guanine-N(7)-)-methyltransferase, putative	protein coding gene	PF3D7_1127300
PF3D7_1127400	PF3D7_1127400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1127400
PF3D7_1127500	PF3D7_1127500.1	protein disulfide-isomerase, putative	protein coding gene	PF3D7_1127500
PF3D7_1127600	PF3D7_1127600.1	CRAL/TRIO domain-containing protein, putative	protein coding gene	PF3D7_1127600
PF3D7_1127700	PF3D7_1127700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1127700
PF3D7_1127800	PF3D7_1127800.1	TFIIS central domain-containing protein, putative	protein coding gene	PF3D7_1127800
PF3D7_1127900	PF3D7_1127900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1127900
PF3D7_1128000	PF3D7_1128000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1128000
PF3D7_1128000	PF3D7_1128000.2	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1128000
PF3D7_1128100	PF3D7_1128100.1	prefoldin subunit 5, putative	protein coding gene	PF3D7_1128100
PF3D7_1128200	PF3D7_1128200.1	multiprotein-bridging factor 1, putative	protein coding gene	PF3D7_1128200
PF3D7_1128300	PF3D7_1128300.1	ATP-dependent 6-phosphofructokinase	protein coding gene	PF3D7_1128300
PF3D7_1128400	PF3D7_1128400.1	bifunctional farnesyl/geranylgeranyl diphosphate synthase	protein coding gene	PF3D7_1128400
PF3D7_1128500	PF3D7_1128500.1	Fe-S cluster assembly factor HCF101, putative	protein coding gene	PF3D7_1128500
PF3D7_1128600	PF3D7_1128600.1	CCR4-NOT transcription complex subunit 2, putative	protein coding gene	PF3D7_1128600
PF3D7_1128700	PF3D7_1128700.1	GPI-anchor transamidase, putative	protein coding gene	PF3D7_1128700
PF3D7_1128900	PF3D7_1128900.1	conserved protein, unknown function	protein coding gene	PF3D7_1128900
PF3D7_1129000	PF3D7_1129000.1	spermidine synthase	protein coding gene	PF3D7_1129000
PF3D7_1129100	PF3D7_1129100.1	parasitophorous vacuolar protein 1	protein coding gene	PF3D7_1129100
PF3D7_1129200	PF3D7_1129200.1	26S proteasome regulatory subunit RPN7, putative	protein coding gene	PF3D7_1129200
PF3D7_1129300	PF3D7_1129300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1129300
PF3D7_1129400	PF3D7_1129400.1	RNA cytosine C(5)-methyltransferase, putative	protein coding gene	PF3D7_1129400
PF3D7_1129500	PF3D7_1129500.1	A/G-specific adenine glycosylase, putative	protein coding gene	PF3D7_1129500
PF3D7_1129600	PF3D7_1129600.1	phosphatidylinositol-4-phosphate 5-kinase, putative	protein coding gene	PF3D7_1129600
PF3D7_1129700	PF3D7_1129700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1129700
PF3D7_1129800	PF3D7_1129800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1129800
PF3D7_1129850	PF3D7_1129850.1	UNC-50 protein, putative, pseudogene	pseudogene	PF3D7_1129850
PF3D7_1129900	PF3D7_1129900.1	major facilitator superfamily-related transporter, putative	protein coding gene	PF3D7_1129900
PF3D7_1130000	PF3D7_1130000.1	phosphoacetylglucosamine mutase, putative	protein coding gene	PF3D7_1130000
PF3D7_1130100	PF3D7_1130100.1	60S ribosomal protein L38	protein coding gene	PF3D7_1130100
PF3D7_1130200	PF3D7_1130200.1	60S ribosomal protein P0	protein coding gene	PF3D7_1130200
PF3D7_1130300	PF3D7_1130300.1	small nucleolar RNA snoR13	ncRNA gene	PF3D7_1130300
PF3D7_1130310	PF3D7_1130310.1	small nucleolar RNA snoR14a	ncRNA gene	PF3D7_1130310
PF3D7_1130400	PF3D7_1130400.1	26S protease regulatory subunit 6A, putative	protein coding gene	PF3D7_1130400
PF3D7_1130500	PF3D7_1130500.1	conserved oligomeric Golgi complex subunit 2, putative	protein coding gene	PF3D7_1130500
PF3D7_1130600	PF3D7_1130600.1	tRNA:m(4)X modification enzyme TRM13, putative	protein coding gene	PF3D7_1130600
PF3D7_1130700	PF3D7_1130700.1	structural maintenance of chromosomes protein 1, putative	protein coding gene	PF3D7_1130700
PF3D7_1130800	PF3D7_1130800.1	armadillo repeat protein PF16, putative	protein coding gene	PF3D7_1130800
PF3D7_1130900	PF3D7_1130900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1130900
PF3D7_1131000	PF3D7_1131000.1	RNA-binding protein s1, putative	protein coding gene	PF3D7_1131000
PF3D7_1131100	PF3D7_1131100.1	serpentine receptor 1, putative	protein coding gene	PF3D7_1131100
PF3D7_1131200	PF3D7_1131200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1131200
PF3D7_1131300	PF3D7_1131300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1131300
PF3D7_1131400	PF3D7_1131400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1131400
PF3D7_1131500	PF3D7_1131500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1131500
PF3D7_1131600	PF3D7_1131600.1	kelch domain-containing protein, putative	protein coding gene	PF3D7_1131600
PF3D7_1131700	PF3D7_1131700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1131700
PF3D7_1131800	PF3D7_1131800.1	oxysterol-binding protein, putative	protein coding gene	PF3D7_1131800
PF3D7_1131900	PF3D7_1131900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1131900
PF3D7_1132000	PF3D7_1132000.1	ubiquitin-like protein, putative	protein coding gene	PF3D7_1132000
PF3D7_1132100	PF3D7_1132100.1	RNA-binding protein, putative	protein coding gene	PF3D7_1132100
PF3D7_1132200	PF3D7_1132200.1	T-complex protein 1 subunit alpha	protein coding gene	PF3D7_1132200
PF3D7_1132300	PF3D7_1132300.1	nucleic acid binding protein, putative	protein coding gene	PF3D7_1132300
PF3D7_1132400	PF3D7_1132400.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_1132400
PF3D7_1132500	PF3D7_1132500.1	amino acid transporter, putative	protein coding gene	PF3D7_1132500
PF3D7_1132600	PF3D7_1132600.1	pre-mRNA-splicing factor 38A, putative	protein coding gene	PF3D7_1132600
PF3D7_1132700	PF3D7_1132700.1	50S ribosomal protein L2, putative	protein coding gene	PF3D7_1132700
PF3D7_1132800	PF3D7_1132800.1	aquaglyceroporin	protein coding gene	PF3D7_1132800
PF3D7_1132900	PF3D7_1132900.1	glycine cleavage system H protein	protein coding gene	PF3D7_1132900
PF3D7_1133000	PF3D7_1133000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1133000
PF3D7_1133100	PF3D7_1133100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1133100
PF3D7_1133200	PF3D7_1133200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1133200
PF3D7_1133300	PF3D7_1133300.1	cell division control protein CDC50B	protein coding gene	PF3D7_1133300
PF3D7_1133400	PF3D7_1133400.1	apical membrane antigen 1	protein coding gene	PF3D7_1133400
PF3D7_1133500	PF3D7_1133500.1	conserved protein, unknown function	protein coding gene	PF3D7_1133500
PF3D7_1133600	PF3D7_1133600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_1133600
PF3D7_1133700	PF3D7_1133700.1	FHA domain-containing protein, putative	protein coding gene	PF3D7_1133700
PF3D7_1133800	PF3D7_1133800.1	RNA (uracil-5-)methyltransferase	protein coding gene	PF3D7_1133800
